doc_id,script_bucket,evidence_systems,gt_letters_hebrew,gt_letters_semitic,gt_arabic_only,best_hebrew,best_model_hebrew,best_semitic,best_model_semitic,readmitted_semitic
Cambridge_CUL_T_S_10J30_7,judaeo_arabic,4,490,490,0,0.08139534883720931,qwen3_vl_8b_heb_v17_step800,0.08139534883720931,qwen3_vl_8b_heb_v17_step800,no
Cambridge_CUL_T_S_12_708,judaeo_arabic,8,533,533,0,0.10606060606060606,gemini_flash,0.10606060606060606,gemini_flash,no
Cambridge_CUL_T_S_13J8_16,arabic_script,8,664,664,0,0.0,,0.0,,no
Cambridge_CUL_T_S_20_117,judaeo_arabic,4,1047,1047,0,0.005309734513274336,qwen3_vl_8b_heb_v17_step800,0.005309734513274336,qwen3_vl_8b_heb_v17_step800,no
Cambridge_CUL_T_S_20_99,untagged,4,1557,1557,0,0.11110249651108699,qwen3_vl_8b_heb_v17_step800,0.11110249651108699,qwen3_vl_8b_heb_v17_step800,no
Cambridge_CUL_T_S_28_24,untagged,4,3800,3800,0,0.02213589386498571,qwen3_vl_8b_heb_v17_step800,0.02213589386498571,qwen3_vl_8b_heb_v17_step800,no
Cambridge_CUL_T_S_8J17_17,judaeo_arabic,4,504,504,0,0.006622516556291391,claude_sonnet_5,0.006622516556291391,claude_sonnet_5,no
Cambridge_CUL_T_S_Ar_19_23,arabic_script,4,0,1312,1312,0.0,,0.021710563903330857,qwen3_vl_8b_heb_v17_step800,no
Cambridge_CUL_T_S_Ar_38_2,arabic_script,8,0,594,594,0.0,,0.24929971988795518,gemini_pro,yes
Cambridge_CUL_T_S_Ar_4_10,judaeo_arabic,8,0,677,677,0.0,,0.3793706293706294,gemini_pro,yes
Cambridge_CUL_T_S_NS_320_42,arabic_script,8,119,1022,903,0.025547445255474453,kraken_seg,0.16161616161616163,gemini_pro,yes
Cambridge_Mosseri_V_336_1,judaeo_arabic,8,525,525,0,0.029411764705882353,qwen3_vl_8b_heb_v17_step800,0.029411764705882353,qwen3_vl_8b_heb_v17_step800,no
Manchester_JRL_Genizah_Ar_806,judaeo_arabic,8,341,602,261,0.034210526315789476,kraken_seg,0.6313725490196078,claude_opus_4_8,yes
New_York_JTS_ENA_2738_34,judaeo_arabic,8,1049,1049,0,0.08522727272727272,gemini_pro,0.08522727272727272,gemini_pro,no
New_York_JTS_ENA_NS_2_29,arabic_script,8,0,1104,1104,0.0,,0.06900328587075576,gemini_pro,no
New_York_JTS_ENA_NS_I_38,judaeo_arabic,8,483,483,0,0.1099290780141844,qwen3_vl_8b_heb_v17_step800,0.1099290780141844,qwen3_vl_8b_heb_v17_step800,no
New_York_JTS_ENA_NS_I_62,judaeo_arabic,8,368,368,0,0.0,,0.0,,no
Oxford_Bodleian_MS_heb_d_66_68,judaeo_arabic,6,505,505,0,0.009264435747943455,qwen3_vl_8b_heb_v17_step800,0.009264435747943455,qwen3_vl_8b_heb_v17_step800,no
Oxford_Bodleian_MS_heb_f_39_30,hebrew,8,415,415,0,0.021505376344086023,vision_ocr_seg,0.020202020202020204,vision_ocr_seg,no
